,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
0,Henry Cejudo,Marlon Moraes,Men's,Bantamweight,2019,32.0,31.0,Orthodox,Orthodox,135.0,135.0,162.56,170.18,8.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,Red
1,Valentina Shevchenko,Jessica Eye,Women's,Women's Flyweight,2019,31.0,32.0,Southpaw,Orthodox,125.0,125.0,167.64,167.64,5.0,4.0,2.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,Red
2,Tony Ferguson,Donald Cerrone,Men's,Lightweight,2019,35.0,36.0,Orthodox,Orthodox,155.0,155.0,193.04,185.42,14.0,23.0,1.0,8.0,0.0,0.0,11.0,3.0,0.0,0.0,11.0,8.0,Red
3,Jimmie Rivera,Petr Yan,Men's,Bantamweight,2019,29.0,26.0,Orthodox,Switch,135.0,135.0,172.72,170.18,6.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,4.0,Blue
4,Tai Tuivasa,Blagoy Ivanov,Men's,Heavyweight,2019,26.0,32.0,Southpaw,Southpaw,264.0,250.0,190.5,185.42,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,Blue
6,Aljamain Sterling,Pedro Munhoz,Men's,Bantamweight,2019,29.0,32.0,Orthodox,Orthodox,135.0,135.0,180.34,165.1,9.0,8.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,Red
7,Karolina Kowalkiewicz,Alexa Grasso,Women's,Women's Strawweight,2019,33.0,25.0,Orthodox,Orthodox,115.0,115.0,162.56,167.64,5.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,Blue
8,Ricardo Lamas,Calvin Kattar,Men's,Featherweight,2019,37.0,31.0,Orthodox,Orthodox,145.0,145.0,180.34,182.88,10.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,Blue
9,Yan Xiaonan,Angela Hill,Women's,Women's Strawweight,2019,29.0,34.0,Orthodox,Orthodox,115.0,115.0,160.02,162.56,3.0,4.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,Red
10,Bevon Lewis,Darren Stewart,Men's,Middleweight,2019,28.0,28.0,Orthodox,Orthodox,185.0,185.0,200.66,187.96,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Blue
11,Eddie Wineland,Grigorii Popov,Men's,Bantamweight,2019,34.0,35.0,Orthodox,Switch,135.0,135.0,175.26,172.72,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Red
12,Katlyn Chookagian,Joanne Calderwood,Women's,Women's Flyweight,2019,30.0,33.0,Orthodox,Orthodox,125.0,125.0,172.72,165.1,4.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,Red
13,Alexander Gustafsson,Anthony Smith,Men's,Light Heavyweight,2019,32.0,30.0,Orthodox,Orthodox,205.0,205.0,200.66,193.04,10.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,Blue
14,Jimi Manuwa,Aleksandar Rakic,Men's,Light Heavyweight,2019,39.0,27.0,Orthodox,Orthodox,205.0,205.0,200.66,198.12,6.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,Blue
15,Makwan Amirkhani,Chris Fishgold,Men's,Featherweight,2019,30.0,26.0,Southpaw,Orthodox,145.0,145.0,182.88,172.72,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Red
